Country,Country_Code,Region,Sub-region,Population
Timor-Leste,TLS,Asia,South-Eastern Asia,1391221
Zimbabwe,ZWE,Africa,Southern Africa,17073087
South Africa,ZAF,Africa,Southern Africa,63100945
Armenia,ARM,Asia,Western Asia,3076200
Ireland,IRL,Europe,Northern Europe,5458600
Norway,NOR,Europe,Northern Europe,5606944
Kenya,KEN,Africa,Eastern Africa,53330978
North Korea,PRK,Asia,Eastern Asia,25950000
Afghanistan,AFG,Asia,Southern Asia,43844000
Bermuda,BMU,Americas,North America,64055
Spain,ESP,Europe,Southern Europe,49315949
Netherlands,NLD,Europe,Western Europe,18100436
Nicaragua,NIC,Americas,Central America,6803886
Lesotho,LSO,Africa,Southern Africa,2116427
Egypt,EGY,Africa,Northern Africa,107271260
Gambia,GMB,Africa,Western Africa,2422712
Brazil,BRA,Americas,South America,213421037
Australia,AUS,Oceania,Australia and New Zealand,27536874
Bouvet Island,BVT,Antarctic,,0
Pitcairn Islands,PCN,Oceania,Polynesia,35
Barbados,BRB,Americas,Caribbean,267800
Madagascar,MDG,Africa,Eastern Africa,31727042
United Kingdom,GBR,Europe,Northern Europe,69281437
Portugal,PRT,Europe,Southern Europe,10749635
Greenland,GRL,Americas,North America,56542
American Samoa,ASM,Oceania,Polynesia,49710
South Georgia,SGS,Antarctic,,0
Turkmenistan,TKM,Asia,Central Asia,7057841
Guadeloupe,GLP,Americas,Caribbean,378561
Dominica,DMA,Americas,Caribbean,67408
Solomon Islands,SLB,Oceania,Melanesia,750325
Saint Pierre and Miquelon,SPM,Americas,North America,5819
Rwanda,RWA,Africa,Eastern Africa,14104969
Norfolk Island,NFK,Oceania,Australia and New Zealand,2188
Panama,PAN,Americas,Central America,4064780
Bahamas,BHS,Americas,Caribbean,398165
Tokelau,TKL,Oceania,Polynesia,2608
Montenegro,MNE,Europe,Southeast Europe,623327
Åland Islands,ALA,Europe,Northern Europe,30654
Niue,NIU,Oceania,Polynesia,1681
Argentina,ARG,Americas,South America,46735004
Cuba,CUB,Americas,Caribbean,9748007
Cayman Islands,CYM,Americas,Caribbean,84738
Kazakhstan,KAZ,Asia,Central Asia,20426568
Russia,RUS,Europe,Eastern Europe,146028325
India,IND,Asia,Southern Asia,1417492000
British Virgin Islands,VGB,Americas,Caribbean,39471
Guam,GUM,Oceania,Micronesia,153836
Myanmar,MMR,Asia,South-Eastern Asia,51316756
DR Congo,COD,Africa,Middle Africa,112832000
Mauritius,MUS,Africa,Eastern Africa,1243741
Falkland Islands,FLK,Americas,South America,3662
Northern Mariana Islands,MNP,Oceania,Micronesia,47329
Ukraine,UKR,Europe,Eastern Europe,32862000
Monaco,MCO,Europe,Western Europe,38423
Tajikistan,TJK,Asia,Central Asia,10499000
Malaysia,MYS,Asia,South-Eastern Asia,34231700
Somalia,SOM,Africa,Eastern Africa,19655000
Antigua and Barbuda,ATG,Americas,Caribbean,103603
Central African Republic,CAF,Africa,Middle Africa,6470307
Macau,MAC,Asia,Eastern Asia,685900
Israel,ISR,Asia,Western Asia,10134800
Nigeria,NGA,Africa,Western Africa,223800000
Honduras,HND,Americas,Central America,9892632
Sierra Leone,SLE,Africa,Western Africa,9077691
Tunisia,TUN,Africa,Northern Africa,11972169
Lithuania,LTU,Europe,Northern Europe,2894886
Iraq,IRQ,Asia,Western Asia,46118793
Switzerland,CHE,Europe,Western Europe,9082848
Chile,CHL,Americas,South America,20206953
Taiwan,TWN,Asia,Eastern Asia,23317031
Vietnam,VNM,Asia,South-Eastern Asia,101343800
Bangladesh,BGD,Asia,Southern Asia,169828911
Vanuatu,VUT,Oceania,Melanesia,321409
Pakistan,PAK,Asia,Southern Asia,241499431
Latvia,LVA,Europe,Northern Europe,1829000
Malta,MLT,Europe,Southern Europe,574250
Seychelles,SYC,Africa,Eastern Africa,122729
Montserrat,MSR,Americas,Caribbean,4386
Anguilla,AIA,Americas,Caribbean,16010
Greece,GRC,Europe,Southern Europe,10400720
Czechia,CZE,Europe,Central Europe,10882341
Zambia,ZMB,Africa,Eastern Africa,19693423
Hong Kong,HKG,Asia,Eastern Asia,7527500
United States,USA,Americas,North America,340110988
Eswatini,SWZ,Africa,Southern Africa,1235549
Slovenia,SVN,Europe,Central Europe,2130638
Caribbean Netherlands,BES,Americas,Caribbean,31980
Maldives,MDV,Asia,Southern Asia,515132
Ghana,GHA,Africa,Western Africa,33742380
Paraguay,PRY,Americas,South America,6109644
Mozambique,MOZ,Africa,Eastern Africa,34090466
Palestine,PSE,Asia,Western Asia,5483450
Moldova,MDA,Europe,Eastern Europe,2749076
Liberia,LBR,Africa,Western Africa,5248621
Liechtenstein,LIE,Europe,Western Europe,40900
Peru,PER,Americas,South America,34350244
Qatar,QAT,Asia,Western Asia,3173024
Christmas Island,CXR,Oceania,Australia and New Zealand,1692
Georgia,GEO,Asia,Western Asia,4000921
Ecuador,ECU,Americas,South America,18103660
Philippines,PHL,Asia,South-Eastern Asia,114123600
Ethiopia,ETH,Africa,Eastern Africa,111652998
United States Virgin Islands,VIR,Americas,Caribbean,87146
Syria,SYR,Asia,Western Asia,25620000
Romania,ROU,Europe,Southeast Europe,19036031
Guatemala,GTM,Americas,Central America,18079810
Nepal,NPL,Asia,Southern Asia,29911840
Réunion,REU,Africa,Eastern Africa,896175
Benin,BEN,Africa,Western Africa,13224860
Kuwait,KWT,Asia,Western Asia,4881254
Suriname,SUR,Americas,South America,616500
New Caledonia,NCL,Oceania,Melanesia,264596
Sudan,SDN,Africa,Northern Africa,51662000
United States Minor Outlying Islands,UMI,Americas,North America,0
Chad,TCD,Africa,Middle Africa,19340757
Uruguay,URY,Americas,South America,3499451
Bosnia and Herzegovina,BIH,Europe,Southeast Europe,3422000
